metric_uid,title,source,product,is_ml,ml_task,ml_entity,concept,n_dashboards,dashboards,aliases,dc_kg_node_id,in_chart_registry,in_dc_kg,agreement,platform,sub_platform,domain,unit,aggregation,polarity,is_derived,is_kpi,depends_on,dependency_confidence,source_code_ref,formula
blended.cpa,Average CPA,blended,MarketingIQ,false,,,cpa,1,marketing-mix,,blended.cpa.avg,true,true,both,Cross-channel,,marketing,currency,ratio,lower_better,true,true,blended.total_ad_spend; blended.conversions; google_ads.spend; meta_ads.spend; google_ads.conversions; meta_ads.conversions,high,"backend/app/repositories/marketing_mix.py:785-788 (AVG_CPA = TOTAL_SPEND/TOTAL_CONVERSIONS), :1081-1130 (_build_cpa_metric, inverted trend)",Average CPA = (Google spend + Meta spend) ÷ total platform-reported conversions
blended.ctr,Blended CTR,blended,MarketingIQ,false,,,ctr,1,creative-performance,,blended.ctr,true,true,both,Cross-channel,,marketing,percent,ratio,higher_better,true,true,google_ads.clicks; google_ads.impressions; meta_ads.clicks; meta_ads.impressions,high,"backend/app/repositories/creative_performance.py:491-552 (_sql_blended_ctr: SUM(CLICKS)*100/SUM(IMPRESSIONS) across both marts), :958-990 (_build_blended_ctr_metric)",Blended CTR = total clicks ÷ total impressions × 100 (impression-weighted across Google + Meta)
blended.ga4_magento_gap,GA4 vs Magento Gap,blended,MarketingIQ,false,,,ga4_magento_gap,1,attribution,,,true,false,only_chart_registry,Cross-channel,,finance,currency,sum,neutral,true,true,ga4.revenue; magento.net_revenue,high,"backend/app/repositories/attribution.py:335-340 (GA4_MAGENTO_GAP, GA4_MAGENTO_GAP_PCT), :822-863 (_build_ga4_magento_gap_metric)",GA4 vs Magento Gap = total GA4 revenue − Magento store revenue; Gap % = gap ÷ Magento revenue × 100
blended.google_attribution_gap,Google Attribution Gap,blended,MarketingIQ,false,,,google_gap,1,attribution,,,true,false,only_chart_registry,Cross-channel,,finance,currency,sum,neutral,true,true,google_ads.conversion_value; ga4.revenue,high,"backend/app/repositories/attribution.py:314-318 (GOOGLE_GAP, GOOGLE_GAP_PCT), :686-730 (_build_google_gap_metric)",Google Attribution Gap = Google platform-reported revenue − GA4 Google revenue; Gap % = gap ÷ GA4 Google revenue × 100
blended.klaviyo_attribution_gap,Klaviyo Attribution Gap,blended,MarketingIQ,false,,,klaviyo_gap,1,attribution,,,true,false,only_chart_registry,Cross-channel,,finance,currency,sum,neutral,true,true,klaviyo.revenue; ga4.email_revenue,high,"backend/app/repositories/attribution.py:326-333 (KLAVIYO_GAP, EMAIL_REVENUE, KLAVIYO_GAP_PCT), :778-820 (_build_klaviyo_gap_metric)",Klaviyo Attribution Gap = Klaviyo self-reported revenue − GA4 email revenue; Gap % = gap ÷ GA4 email revenue × 100
blended.mer,Marketing Efficiency Ratio (MER),blended,MarketingIQ,false,,,mer,2,marketing-mix; monthly-review,,blended.mer,true,true,both,Cross-channel,,finance,ratio,ratio,higher_better,true,true,magento.net_revenue; blended.total_ad_spend; google_ads.spend; meta_ads.spend,high,"backend/app/repositories/marketing_mix.py:780 (MER=MAGENTO_REVENUE/TOTAL_SPEND), :895-939 (_build_mer_metric); monthly_review.py:285-336 (_get_mer_metric: NET_REVENUE/TOTAL_AD_SPEND)","MER (Marketing Efficiency Ratio) = net revenue ÷ total ad spend (Google + Meta), 0 when spend is 0"
blended.meta_attribution_gap,Meta Attribution Gap,blended,MarketingIQ,false,,,meta_gap,1,attribution,,,true,false,only_chart_registry,Cross-channel,,finance,currency,sum,neutral,true,true,meta_ads.conversion_value; ga4.revenue,high,"backend/app/repositories/attribution.py:320-324 (META_GAP, META_GAP_PCT), :732-776 (_build_meta_gap_metric)",Meta Attribution Gap = Meta platform-reported revenue − GA4 Meta revenue; Gap % = gap ÷ GA4 Meta revenue × 100
blended.month_end_revenue_projection,Month End Revenue Projection,blended,MarketingIQ,false,,,revenue,1,budget-pacing,blended.month_end_revenue,blended.month_end_revenue,true,true,both,Cross-channel,,finance,currency,sum,higher_better,true,true,google_ads.conversion_value; meta_ads.conversion_value,high,"backend/app/repositories/budget_pacing.py:580-673 (_fetch_month_end_projection_data: PROJ_REVENUE_SIMPLE = mtd_revenue + avg_daily_revenue*days_left), :167 (_build_month_end_revenue_metric)","Projected month-end revenue = month-to-date revenue + (average daily revenue × days left), using paid-media conversion value. Current ROAS = period revenue ÷ period spend; projected ROAS = projected revenue ÷ projected spend."
blended.month_end_spend_projection,Month End Spend Projection,blended,MarketingIQ,false,,,month_end_projection,1,budget-pacing,blended.month_end_projection,blended.month_end_projection,true,true,both,Cross-channel,,finance,currency,sum,neutral,true,true,google_ads.spend; meta_ads.spend,high,"backend/app/repositories/budget_pacing.py:580-673 (_fetch_month_end_projection_data: PROJ_SPEND_SIMPLE = mtd_spend + avg_daily_spend*days_left), :166 (_build_month_end_projection_metric)",Projected month-end spend. Simple projection = month-to-date spend + (average daily spend × days left). Weighted projection = MTD spend + (weekday average × weekdays left) + (weekend average × weekends left). Confidence range = MTD spend + ((average daily ± standard deviation) × days left).
blended.optimize_cut_campaigns,Optimize/Cut Campaigns,blended,MarketingIQ,false,,,optimize_cut,1,campaign-matrix,,blended.optimize_cut,true,true,both,Cross-channel,,marketing,count,count,lower_better,true,true,blended.roas; google_ads.spend; meta_ads.spend; google_ads.conversion_value; meta_ads.conversion_value,high,"backend/app/repositories/campaign_matrix.py:304-345 (medians + with_quadrants 'Optimize/Cut'), :750-810 (_build_quadrant_metrics)",Optimize/Cut Campaigns = count of campaigns with spend ≥ median spend and ROAS < median ROAS (medians taken over campaigns with positive spend and ROAS)
blended.purchase_reconciliation,Purchase Reconciliation,blended,MarketingIQ,false,,,purchase_reconciliation,1,funnel,,,true,false,only_chart_registry,Cross-channel,,operations,count,sum,neutral,true,true,ga4.purchases; magento.orders,high,backend/app/repositories/funnel.py:524-574 (_build_purchase_reconciliation_metric: PURCHASES - MAGENTO_ORDERS),Purchase Reconciliation Delta = GA4 purchases − Magento orders; Gap % = delta ÷ Magento orders × 100
blended.revenue_reconciliation,Revenue Reconciliation,blended,MarketingIQ,false,,,revenue_reconciliation,2,attribution; marketing-mix,,blended.revenue_reconciliation,true,true,both,Cross-channel,,finance,currency,sum,neutral,true,true,magento.net_revenue; ga4.revenue; google_ads.conversion_value; meta_ads.conversion_value,high,"backend/app/repositories/attribution.py:865-915 (_build_revenue_reconciliation_metric: platform_total, ga4_total, magento gaps); marketing_mix.py:941-988 (_build_revenue_reconciliation_metric)","Revenue Reconciliation headline = total Magento store revenue (source of truth), with gap percentages versus platform-reported and GA4-attributed revenue"
blended.roas,Blended ROAS,blended,MarketingIQ,false,regression,marketing,roas,10,annual-planning; audience-performance; campaign-matrix; ceo-pulse; creative-performance; marketing-mix; ml-marketing-mix; ml-marketing-mix-campaign; quarterly-review; weekly-exec,,blended.roas; blended.roas.avg,true,true,both,Cross-channel,,marketing,ratio,ratio,higher_better,true,true,blended.total_ad_spend; google_ads.conversion_value; meta_ads.conversion_value; ga4.revenue; magento.net_revenue; google_ads.spend; meta_ads.spend,high,backend/app/repositories/marketing_mix.py:769-783 (BLENDED_ROAS); campaign_matrix.py:339 (BLENDED_ROAS=SUM(revenue)/SUM(spend)); ceo_pulse.py:347-350 (BLENDED_ROAS=NET_REVENUE/TOTAL_AD_SPEND),Blended ROAS = total incremental revenue ÷ total media spend across all channels (0 when spend = 0)
blended.scale_campaigns,Scale Campaigns,blended,MarketingIQ,false,,,scale,1,campaign-matrix,,blended.scale,true,true,both,Cross-channel,,marketing,count,count,higher_better,true,true,blended.roas; google_ads.spend; meta_ads.spend; google_ads.conversion_value; meta_ads.conversion_value,high,"backend/app/repositories/campaign_matrix.py:312-345 (with_quadrants 'Scale', SCALE_COUNT), :750-810 (_build_quadrant_metrics)",Scale Campaigns = count of campaigns with spend ≥ median spend and ROAS ≥ median ROAS (medians taken over campaigns with positive spend and ROAS)
blended.scale_opportunity_campaigns,Scale Opportunity Campaigns,blended,MarketingIQ,false,,,scale_opportunity,1,campaign-matrix,,blended.scale_opportunity,true,true,both,Cross-channel,,marketing,count,count,higher_better,true,true,blended.roas; google_ads.spend; meta_ads.spend; google_ads.conversion_value; meta_ads.conversion_value,high,"backend/app/repositories/campaign_matrix.py:312-345 (with_quadrants: spend=0 AND revenue>0 OR spend<median AND roas>=median -> 'Scale Opportunity'), :750-810 (_build_quadrant_metrics)",Scale Opportunity Campaigns = count of campaigns with spend < median spend and ROAS ≥ median ROAS (also includes campaigns with zero spend but positive revenue); medians over campaigns with positive spend and ROAS
blended.test_kill_campaigns,Test/Kill Campaigns,blended,MarketingIQ,false,,,test_kill,1,campaign-matrix,,blended.test_kill,true,true,both,Cross-channel,,marketing,count,count,lower_better,true,true,blended.roas; google_ads.spend; meta_ads.spend; google_ads.conversion_value; meta_ads.conversion_value,high,"backend/app/repositories/campaign_matrix.py:312-345 (with_quadrants ELSE 'Test/Kill', TEST_KILL_COUNT), :750-810 (_build_quadrant_metrics)",Test/Kill Campaigns = count of campaigns with spend < median spend and ROAS < median ROAS (medians taken over campaigns with positive spend and ROAS)
blended.total_ad_spend,Total Ad Spend,blended,MarketingIQ,false,regression,marketing,spend,9,annual-planning; audience-performance; campaign-matrix; creative-performance; marketing-mix; ml-marketing-mix; ml-marketing-mix-campaign; quarterly-review; weekly-exec,,blended.ad_spend; blended.audience_spend; blended.spend; blended.spend.sum,true,true,both,Cross-channel,,marketing,currency,sum,neutral,true,true,google_ads.spend; meta_ads.spend,high,"backend/app/repositories/marketing_mix.py:755-759 (TOTAL_SPEND = google_spend + meta_spend), :796-842 (_build_total_spend_metric); ceo_pulse.py:330 (TOTAL_AD_SPEND)",Total Media Spend = sum of paid media spend across all channels (Google Ads + Meta Ads + Email) in the attribution period
blended.yoy_revenue_change,YoY Revenue Change,blended,MarketingIQ,false,,,yoy_change,1,annual-planning,,,true,false,only_chart_registry,Cross-channel,,finance,percent,ratio,higher_better,true,true,magento.net_revenue,high,"backend/app/repositories/annual_planning.py:1234-1315 (get_kpis: actual_revenue from MART_CEO_DAILY_PULSE NET_REVENUE, yoy_change), :233-255 (_build_yoy_change_metric); legacy get_yoy_change_metric:573-630 uses MART_ANNUAL_PLANNING_SUMMARY.annual_revenue",YoY Change % = (most recent completed year revenue − prior year revenue) ÷ prior year revenue × 100
derived.estimated_orders,Estimated Orders,derived,MarketingIQ,false,,,orders,1,weekly-exec,,,true,false,only_chart_registry,Derived,,sales,count,ratio,higher_better,true,false,ga4.revenue,high,"backend/app/features/weekly_exec/dashboard/repository.py:1010-1012,1038-1046 (build_kpi_summary: orders_value = int(current_revenue/50))",Weekly Orders (estimated) = weekly revenue ÷ $50 assumed average order value; WoW Change % = revenue WoW
derived.gross_margin,Gross Margin,derived,MarketingIQ,false,,,gross_margin,1,monthly-review,,blended.gross_margin,true,true,both,Derived,,finance,percent,ratio,higher_better,true,true,magento.net_revenue; blended.total_ad_spend; google_ads.spend; meta_ads.spend,high,backend/app/repositories/monthly_review.py:414-471 (_get_gross_margin_metric: (revenue*0.50 - ad_spend)/revenue*100),Gross Margin % (estimated) = (net revenue × 50% assumed COGS − total ad spend) ÷ net revenue × 100
derived.ltv_cac_ratio,LTV:CAC Ratio,derived,MarketingIQ,false,,,ltv_cac_ratio,1,monthly-review,,blended.ltv_cac.ratio,true,true,both,Derived,,finance,ratio,ratio,higher_better,true,true,magento.net_revenue; magento.orders; blended.total_ad_spend; ga4.new_users; google_ads.spend; meta_ads.spend,high,"backend/app/repositories/monthly_review.py:338-412 (_get_ltv_cac_metric: ltv = (revenue/orders)*1.5, cac = ad_spend/new_users, ratio = ltv/cac)","LTV:CAC = estimated LTV ÷ CAC, where LTV = (net revenue ÷ orders) × 1.5 and CAC = total ad spend ÷ new users"
derived.projected_revenue,Projected Revenue,derived,MarketingIQ,false,,,revenue,1,annual-planning,,,true,false,only_chart_registry,Derived,,finance,currency,sum,higher_better,true,true,blended.total_ad_spend; google_ads.roas; meta_ads.roas; google_ads.spend; meta_ads.spend; google_ads.conversion_value; meta_ads.conversion_value,high,"backend/app/repositories/annual_planning.py:120-161 (_derive_annual_values: google_budget*google_roas + meta_budget*meta_roas + email_budget*25), :187-209 (_build_projected_revenue_metric); legacy get_projected_revenue_metric:460-526","Projected Revenue = (Google budget × Google ROAS) + (Meta budget × Meta ROAS) + (Email budget × Email ROAS), where budget split is 52% Google / 46% Meta / 2% Email and channel ROAS are prior-year actuals (Email fixed at 25x)"
derived.revenue_per_session,Revenue per Session,derived,MarketingIQ,false,,,rpu,1,cro,,web.rpu,true,true,both,Derived,,marketing,currency,ratio,higher_better,true,true,magento.net_revenue; ga4.sessions,high,"backend/app/repositories/cro.py:184-190,633-653 (_fetch_rpu_kpi: SUM(REVENUE)/SUM(SESSIONS)), :904-942 (_build_metric)",Revenue per Session = revenue ÷ sessions over the period
ga4.avg_product_price,Average Item Price,ga4,ProductIQ,false,,,avg_price,2,product-category; product-overview,ga4.avg_price,store.item_price.avg; store.price.avg,true,true,both,GA4,,product,currency,ratio,neutral,true,true,ga4.item_revenue; ga4.items_purchased,high,"backend/app/repositories/product_overview.py:712-749 (_build_avg_price_metric, SQL line 72); backend/app/repositories/product_category.py:249-274 (_build_avg_item_price_metric, SQL line 119)",Avg Product Price = product revenue ÷ units sold (over the selected period)
ga4.avg_revenue_per_new_product,Avg Revenue Per New Product,ga4,ProductIQ,false,,,avg_revenue_per_product,1,new-products,,store.revenue_per_product.avg,true,true,both,GA4,,product,currency,ratio,higher_better,true,true,ga4.new_products_revenue; ga4.new_products_count,high,"backend/app/repositories/new_products.py:26-49 (KPI_SUMMARY_SQL, AVG_REVENUE_PER_PRODUCT line 43); get_kpi_summary 516-522",Avg Revenue Per Product = total revenue from new products ÷ count of distinct new products (each new product's activity from its launch date through the end date)
ga4.bounce_rate,Bounce Rate,ga4,MarketingIQ,false,,,bounce_rate,1,website-performance,,web.bounce.rate,true,true,both,GA4,,marketing,percentage,ratio,lower_better,true,true,ga4.engaged_sessions; ga4.sessions,high,backend/app/repositories/website_performance.py:1117-1166 (_build_bounce_rate_metric); period calc 1009-1011,Bounce Rate = (1 − engaged sessions ÷ sessions) × 100 (weighted across the period)
ga4.cart_abandonment_rate,Cart Abandonment Rate,ga4,MarketingIQ,false,,,cart_abandonment,1,cro,,web.cart_abandonment,true,true,both,GA4,,marketing,percentage,ratio,lower_better,true,true,ga4.add_to_carts; ga4.purchases,high,backend/app/repositories/cro.py:550-572 (_fetch_cart_abandonment_kpi); calc string 157-159,Cart Abandonment Rate = (add-to-carts − purchases) ÷ add-to-carts × 100
ga4.cart_to_purchase_rate,Cart-to-Purchase Rate,ga4,ProductIQ,false,,,cart_to_purchase_rate,1,inventory,,ecom.cart_to_purchase_rate.avg,true,true,both,GA4,,product,percentage,ratio,higher_better,true,true,ga4.items_added_to_cart; ga4.items_purchased,high,backend/app/repositories/inventory.py:306-324 (get_benchmark_conversion),"Cart-to-Purchase Rate = average across qualifying products of (each product's units purchased ÷ its cart adds) × 100, over the last 30 days, limited to items with 50–10,000 cart adds and at least one purchase"
ga4.checkout_completion_rate,Checkout Completion Rate,ga4,MarketingIQ,false,,,checkout_completion,1,cro,,web.checkout_completion,true,true,both,GA4,,marketing,percentage,ratio,higher_better,true,true,ga4.begin_checkout; ga4.purchases,high,backend/app/repositories/cro.py:574-596 (_fetch_checkout_completion_kpi); calc string 164-166,Checkout Completion Rate = purchases ÷ begun checkouts × 100
ga4.declining_items,Declining Items,ga4,ProductIQ,false,,,declining_items,1,inventory,,ecom.declining_items_count,true,true,both,GA4,,product,count,count_distinct,lower_better,true,true,ga4.items_purchased,high,backend/app/repositories/inventory.py:326-360 (get_declining_items_count),"Declining Items = count of distinct products whose current-week units purchased fell below half of their level four weeks earlier, among items that had more than 20 purchases four weeks ago (fixed trailing 60-day window anchored to today, independent of the dashboard date filter)"
ga4.direct_revenue_share,Direct Traffic Share,ga4,MarketingIQ,false,,,direct_share,1,attribution,ga4.direct_share,,true,false,only_chart_registry,GA4,,marketing,percentage,ratio,lower_better,true,true,ga4.direct_revenue; ga4.revenue,high,backend/app/repositories/attribution.py:917-957 (_build_direct_share_metric); period calc 309-312,Direct Traffic Share = GA4 Direct revenue ÷ total GA4 revenue × 100
ga4.engagement_rate,Engagement Rate,ga4,MarketingIQ,false,,,engagement_rate,1,website-performance,,web.engagement.rate,true,true,both,GA4,,marketing,percentage,ratio,higher_better,true,true,ga4.engaged_sessions; ga4.sessions,high,backend/app/repositories/website_performance.py:1168-1209 (_build_engagement_rate_metric); period calc 1006-1010,Engagement Rate = (engaged sessions ÷ sessions) × 100 (weighted across the period)
ga4.estimated_conversion_rate,Conversion Rate (estimated),ga4,MarketingIQ,false,,,conversion_rate,1,weekly-exec,ga4.conversion_rate,,true,false,only_chart_registry,GA4,,marketing,percentage,ratio,higher_better,true,true,ga4.engaged_sessions; ga4.sessions,high,"backend/app/features/weekly_exec/dashboard/repository.py:1005-1008,1054-1060 (build_kpi_summary cvr); SCORECARD_QUERY 100-118",Conversion Rate (estimated) = engaged sessions ÷ sessions × 100 × 0.1 (engaged-session proxy); WoW Change %
ga4.estimated_lost_revenue,Est. Lost Revenue,ga4,ProductIQ,false,,,revenue,1,inventory,,ecom.estimated_lost_revenue,true,true,both,GA4,,product,currency,sum,lower_better,true,true,ga4.items_added_to_cart; ga4.items_purchased; ga4.item_revenue; ga4.cart_to_purchase_rate; ga4.avg_product_price,high,backend/app/repositories/inventory.py:246-281 (get_total_lost_revenue),"Estimated Lost Revenue = sum over items with >50 cart adds of (benchmark conversion − item's own conversion) × the item's cart adds × the item's price, over the last 30 days, where benchmark conversion = average of units purchased ÷ cart adds across all items with >50 adds, and price = item revenue ÷ units purchased (falling back to the catalog average price when the item has no purchases)"
ga4.funnel_drop_rate,Funnel Drop Rate,ga4,ProductIQ,false,,,funnel_drop_rate,1,inventory,,ecom.funnel_drop.rate,true,true,both,GA4,,product,percentage,ratio,lower_better,true,true,ga4.add_to_cart_events; ga4.purchase_events,high,backend/app/repositories/inventory.py:362-379 (get_funnel_drop_rate),"Funnel Drop Rate = (1 − purchase events ÷ add-to-cart events) × 100, sitewide over the last 30 days"
ga4.items_at_risk,Items At Risk,ga4,ProductIQ,false,,,items_at_risk,1,inventory,,ecom.items_at_risk,true,true,both,GA4,,product,count,count_distinct,lower_better,true,true,ga4.items_added_to_cart; ga4.items_purchased,high,backend/app/repositories/inventory.py:223-244 (get_items_at_risk_count),"Items At Risk = count of distinct products with zero units purchased but more than 50 cart adds (cart adds capped below 10,000 to exclude anomalies) over the last 30 days"
ga4.new_products_count,New Products Launched,ga4,ProductIQ,false,,,launch_count,1,new-products,,store.launch_count,true,true,both,GA4,,product,count,count_distinct,higher_better,true,true,ga4.item_id,high,"backend/app/repositories/new_products.py:26-49 (KPI_SUMMARY_SQL, NEW_PRODUCTS_COUNT line 37); get_kpi_summary 516-522",New Products Launched = count of distinct products whose first-ever appearance falls within the launch window (placeholder IDs '(not set)' and '(other)' excluded; a product launches on its earliest activity date)
ga4.new_products_revenue,New Products Revenue,ga4,ProductIQ,false,,,revenue,1,new-products,,,true,false,only_chart_registry,GA4,,product,currency,sum,higher_better,true,true,ga4.item_revenue; ga4.new_products_count,high,"backend/app/repositories/new_products.py:26-49 (KPI_SUMMARY_SQL, TOTAL_REVENUE line 41); get_kpi_summary 516-522","Total Revenue = sum of revenue across all new products from each product's launch date through the end date (new product = first appearance within the launch window, placeholders excluded)"
ga4.new_products_success_rate,New Product Success Rate,ga4,ProductIQ,false,,,success_rate,1,new-products,,store.success.rate,true,true,both,GA4,,product,percentage,ratio,higher_better,true,true,ga4.new_products_revenue; ga4.new_products_count,high,backend/app/repositories/new_products.py:400-423 (SUCCESS_RATE_SQL); get_success_rate 667-673,Success Rate = (count of new products that earned any revenue since launch ÷ total new products in the window) × 100
ga4.paid_revenue,Total Paid Revenue,ga4,MarketingIQ,false,,,revenue,1,marketing-mix,ga4.revenue,,true,false,only_chart_registry,GA4,,marketing,currency,sum,higher_better,false,true,ga4.revenue_paid_field,high,"backend/app/repositories/marketing_mix.py:426-441 (_fetch_ga4_paid_revenue), 990-1037 (_build_conversion_value_metric), 768-770 (TOTAL_PAID_REVENUE)",Total Paid Revenue = sum of GA4 revenue for all sessions whose medium is cpc or paid
ga4.product_conversion_rate,Product Conversion Rate,ga4,ProductIQ,false,,,conversion,2,product-category; product-overview,,store.conversion; store.purchase.rate,true,true,both,GA4,,product,percentage,ratio,higher_better,true,true,ga4.items_viewed; ga4.items_purchased,high,"backend/app/repositories/product_overview.py:751-786 (_build_conversion_metric, SQL line 75); backend/app/repositories/product_category.py:276-303 (_build_purchase_rate_metric, SQL line 120)",Conversion Rate = (units purchased ÷ units viewed) × 100
ga4.product_revenue,Product Revenue,ga4,ProductIQ,false,,,revenue,2,product-category; product-overview,ga4.revenue,,true,false,only_chart_registry,GA4,,product,currency,sum,higher_better,false,true,ga4.item_revenue,high,"backend/app/repositories/product_overview.py:640-674 (_build_revenue_metric, SQL line 70); backend/app/repositories/product_category.py:195-220 (_build_revenue_metric, SQL line 115)",Total Revenue = sum of product revenue over the selected period
ga4.revenue,Total GA4 Revenue,ga4,MarketingIQ,false,,,revenue,2,attribution; weekly-exec,,,true,false,only_chart_registry,GA4,,marketing,currency,sum,higher_better,false,true,ga4.total_revenue_field,high,"backend/app/repositories/attribution.py:646-684 (_build_total_revenue_metric), 293 (period total); backend/app/features/weekly_exec/dashboard/repository.py:100-118 (SCORECARD_QUERY revenue)",Weekly Revenue = GA4 channel-attributed revenue across all channels for the week; WoW Change %
ga4.session_conversion_rate,Conversion Rate,ga4,MarketingIQ,false,,,conversion_rate,2,cro; funnel,ga4.conversion_rate,web.conversion.rate,true,true,both,GA4,,marketing,percentage,ratio,higher_better,true,true,ga4.purchases; ga4.sessions,high,"backend/app/repositories/cro.py:526-548 (_fetch_conversion_rate_kpi); backend/app/repositories/funnel.py:345-387 (_build_conversion_rate_metric, calc 'PURCHASES / SESSIONS * 100')",Conversion Rate = purchases ÷ sessions × 100
