node_id,scope,source,source_method,mart_model,source_set,source_confidence,metric_base,aggregation,product,department,grain,grain_source,schema_verified,tenant,node_class,is_derived,keep,type,type_confidence,dimensions,card_endpoint,series_endpoint,n_card,n_series,n_breakdown,mart_source,formula,formula_components,occurrences,source_dashboards,raw_ids,roles,data_owner,steward,sensitivity,compliance_tags,description,unit,polarity,aliases,last_updated,refresh_cadence,sla,null_rate,completeness,quality_score,is_kpi,priority_tier,seasonality_profile,stationarity,volatility,status,version,source_columns,source_expr,availability,history_start,history_end,n_periods
blended.alert_rules,blended,,heuristic,,,low,alert_rules,level,Marketing IQ,Marketing,daily,heuristic,no,rare_seeds,observable,no,yes,,low,,,/api/v1/alerts-config/charts/alert_rules,0,1,0,,,,1,alerts_config,alert_rules,super_admin|agency_admin|tenant_admin|analyst|viewer,Marketing,,internal,,"Alert Rules (number) — metric on blended [Marketing IQ], neutral.",number,neutral,,,daily,,,,,no,3,,,,active,1,,,empty,,,
blended.anomaly_log,blended,,heuristic,,,low,anomaly_log,level,Marketing IQ,Marketing,daily,heuristic,no,rare_seeds,observable,no,yes,,low,,,/api/v1/data-quality/charts/anomaly_log,0,1,0,,,,1,data_quality,anomaly_log,super_admin|agency_admin|tenant_admin|analyst|viewer,Marketing,,internal,,"Anomaly Log (number) — metric on blended [Marketing IQ], neutral.",number,neutral,,,daily,,,,,no,3,,,,active,1,,,empty,,,
blended.aov,blended,multi,dbt,mart_ceo_daily_pulse,ga4|google_ads|linkedin_ads|meta_ads,high,aov,level,Marketing IQ,Finance / Exec,daily,dbt,yes,rare_seeds,observable,no,yes,outcome,high,,/api/v1/ceo-pulse/metrics/aov,,1,0,0,DB_RARE_SEEDS.MARTS.mart_ceo_daily_pulse,,,1,ceo_pulse,aov,super_admin|agency_admin|tenant_admin|analyst|viewer,Finance / Exec,,internal,,"Aov (currency) — metric on blended [Marketing IQ], higher_is_better.",currency,higher_is_better,,,daily,,,,,yes,1,,,,active,1,NET_REVENUE|TOTAL_ORDERS,"CASE WHEN SUM(NVL(TOTAL_ORDERS, 0)) > 0 THEN SUM(NVL(NET_REVENUE, 0)) / SUM(NVL(TOTAL_ORDERS, 0)) END",available,2024-04-23,2025-12-31,618
blended.audience_conversions,blended,multi,dbt,mart_audience_performance,google_ads|meta_ads,high,audience_conversions,level,Marketing IQ,Marketing,daily,dbt,no,rare_seeds,observable,no,yes,outcome,high,,/api/v1/audience-performance/metrics/audience_conversions,,1,0,0,DB_RARE_SEEDS.MARTS.mart_audience_performance,,,1,audience_performance,audience_conversions,super_admin|agency_admin|tenant_admin|analyst|viewer,Marketing,,internal,,"Audience Conversions (count) — metric on blended [Marketing IQ], higher_is_better.",count,higher_is_better,,,daily,,,,,no,3,,,,active,1,,,empty,,,
blended.audience_spend,blended,multi,dbt,mart_audience_performance,google_ads|meta_ads,high,audience_spend,level,Marketing IQ,Marketing,daily,dbt,no,rare_seeds,observable,no,yes,controllable,high,,/api/v1/audience-performance/metrics/audience_spend,,1,0,0,DB_RARE_SEEDS.MARTS.mart_audience_performance,,,1,audience_performance,audience_spend,super_admin|agency_admin|tenant_admin|analyst|viewer,Marketing,,internal,,"Audience Spend (currency) — metric on blended [Marketing IQ], lever.",currency,lever,,,daily,,,,,no,3,,,,active,1,,,available,2024-04-23,2025-12-31,618
blended.below_top,blended,google_ads,dbt,mart_competitive_intelligence,google_ads,high,below_top,level,Marketing IQ,Finance / Exec,daily,dbt,yes,rare_seeds,observable,no,yes,,low,,/api/v1/competitive/metrics/below_top,,1,0,0,DB_RARE_SEEDS.MARTS.mart_competitive_intelligence,,,1,competitive,below_top,super_admin|agency_admin|tenant_admin|analyst|viewer,Finance / Exec,,internal,,"Below Top (number) — metric on blended [Marketing IQ], neutral.",number,neutral,,,daily,,,,,no,3,,,,active,1,,,empty,,,
blended.budget.sum,blended,multi,dbt,mart_annual_planning_summary,google_ads|linkedin_ads|meta_ads,high,budget,sum,Marketing IQ,Finance / Exec,annual,dbt,no,rare_seeds,observable,no,yes,controllable,high,,,/api/v1/annual-planning/charts/total_budget,0,1,0,DB_RARE_SEEDS.MARTS.mart_annual_planning_summary,,,1,annual_planning,total_budget,super_admin|agency_admin|tenant_admin|analyst|viewer,Finance / Exec,,internal,,"Budget (currency) — metric on blended [Marketing IQ], lever.",currency,lever,,,annual,,,,,no,3,,,,active,1,,,empty,,,
blended.budget_at_risk,blended,multi,dbt,mart_campaign_matrix,google_ads|klaviyo|linkedin_ads|meta_ads,high,budget_at_risk,level,Marketing IQ,Marketing,daily,dbt,no,rare_seeds,observable,no,yes,controllable,high,,/api/v1/campaign-matrix/metrics/budget_at_risk,,1,0,0,DB_RARE_SEEDS.MARTS.mart_campaign_matrix,,,1,campaign_matrix,budget_at_risk,super_admin|agency_admin|tenant_admin|analyst|viewer,Marketing,,internal,,"Budget At Risk (currency) — metric on blended [Marketing IQ], lever.",currency,lever,,,daily,,,,,no,3,,,,active,1,,,empty,,,
blended.budget_exhaustion,blended,multi,dbt,mart_budget_pacing,google_ads|linkedin_ads|meta_ads,high,budget_exhaustion,level,Marketing IQ,Finance / Exec,monthly,dbt,no,rare_seeds,observable,no,yes,controllable,high,,/api/v1/budget-pacing/metrics/budget_exhaustion,,1,0,0,DB_RARE_SEEDS.MARTS.mart_budget_pacing,,,1,budget_pacing,budget_exhaustion,super_admin|agency_admin|tenant_admin|analyst|viewer,Finance / Exec,,internal,,"Budget Exhaustion (currency) — metric on blended [Marketing IQ], lever.",currency,lever,,,daily,,,,,no,3,,,,active,1,,,empty,,,
blended.budget_pacing,blended,,heuristic,,,low,budget_pacing,level,Marketing IQ,Finance / Exec,weekly,heuristic,no,rare_seeds,observable,no,yes,controllable,high,,,/api/v1/weekly-exec/charts/budget_pacing,0,1,0,,,,1,weekly_exec,budget_pacing,super_admin|agency_admin|tenant_admin|analyst|viewer,Finance / Exec,,internal,,"Budget Pacing (currency) — metric on blended [Marketing IQ], lever.",currency,lever,,,weekly,,,,,no,3,,,,active,1,,,empty,,,
blended.channel,blended,ga4,dbt,mart_funnel_daily,ga4,high,channel,level,Marketing IQ,Marketing,daily,dbt,no,rare_seeds,observable,no,yes,,low,,,/api/v1/funnel/charts/channel_funnel,0,1,0,DB_RARE_SEEDS.MARTS.mart_funnel_daily,,,1,funnel,channel_funnel,super_admin|agency_admin|tenant_admin|analyst|viewer,Marketing,,internal,,"Channel (number) — metric on blended [Marketing IQ], neutral.",number,neutral,,,daily,,,,,no,3,,,,active,1,,,empty,,,
blended.checkout,blended,ga4,dbt,mart_funnel_daily,ga4,high,checkout,level,Marketing IQ,Marketing,daily,dbt,yes,rare_seeds,observable,no,yes,mediator,high,,,/api/v1/funnel/charts/checkout_analysis,0,1,0,DB_RARE_SEEDS.MARTS.mart_funnel_daily,,,1,funnel,checkout_analysis,super_admin|agency_admin|tenant_admin|analyst|viewer,Marketing,,internal,,"Checkout (number) — metric on blended [Marketing IQ], neutral.",number,neutral,,,daily,,,,,no,3,,,,active,1,,,available,2024-04-23,2025-12-31,618
blended.churn,blended,magento,dbt,mart_customer_health,magento,high,churn,level,Customer IQ,Customer Success,daily,dbt,yes,rare_seeds,observable,no,yes,outcome,high,,,/api/v1/churn-analysis/charts/churn-trend,0,2,0,DB_RARE_SEEDS.MARTS.mart_customer_health,,,1,churn_analysis,churn-trend|cohort-churn,super_admin|agency_admin|tenant_admin|analyst|viewer,Customer Success,,confidential,GDPR|CCPA,"Churn (number) — metric on blended [Customer IQ], lower_is_better.",number,lower_is_better,,,daily,,,,,yes,1,,,,active,1,,,empty,,,
blended.churn.avg,blended,magento,dbt,mart_customer_cohort,magento,high,churn,avg,Customer IQ,Customer Success,monthly,dbt,no,rare_seeds,observable,no,yes,outcome,high,,/api/v1/cohort-analysis/metrics/avg-churn,,1,0,0,DB_RARE_SEEDS.MARTS.mart_customer_cohort,,,1,cohort_analysis,avg-churn,super_admin|agency_admin|tenant_admin|analyst|viewer,Customer Success,,confidential,GDPR|CCPA,"Churn (number) — metric on blended [Customer IQ], lower_is_better.",number,lower_is_better,,,daily,,,,,yes,1,,,,active,1,,,empty,,,
blended.churn_aov,blended,magento,dbt,mart_customer_health,magento,high,churn_aov,level,Customer IQ,Customer Success,daily,dbt,no,rare_seeds,observable,no,no,,,,,,0,0,1,DB_RARE_SEEDS.MARTS.mart_customer_health,,,1,churn_analysis,churn-by-aov,super_admin|agency_admin|tenant_admin|analyst|viewer,Customer Success,,confidential,GDPR|CCPA,"Churn Aov (currency) — metric on blended [Customer IQ], lower_is_better.",currency,lower_is_better,,,daily,,,,,no,3,,,,active,1,,,,,,
blended.churn_orders,blended,magento,dbt,mart_customer_health,magento,high,churn_orders,level,Customer IQ,Customer Success,daily,dbt,no,rare_seeds,observable,no,no,,,,,,0,0,1,DB_RARE_SEEDS.MARTS.mart_customer_health,,,1,churn_analysis,churn-by-orders,super_admin|agency_admin|tenant_admin|analyst|viewer,Customer Success,,confidential,GDPR|CCPA,"Churn Orders (count) — metric on blended [Customer IQ], lower_is_better.",count,lower_is_better,,,daily,,,,,no,3,,,,active,1,,,,,,
blended.churn_prob.avg,blended,magento,dbt,mart_customer_health,magento,high,churn_prob,avg,Customer IQ,Customer Success,daily,dbt,no,rare_seeds,observable,no,yes,outcome,high,,/api/v1/churn-analysis/metrics/avg-churn-prob,,1,0,0,DB_RARE_SEEDS.MARTS.mart_customer_health,,,1,churn_analysis,avg-churn-prob,super_admin|agency_admin|tenant_admin|analyst|viewer,Customer Success,,confidential,GDPR|CCPA,"Churn Prob (number) — metric on blended [Customer IQ], lower_is_better.",number,lower_is_better,,,daily,,,,,no,3,,,,active,1,,,empty,,,
blended.churn_risk,blended,magento,dbt,mart_customer_cohort,magento,high,churn_risk,level,Customer IQ,Customer Success,monthly,dbt,no,rare_seeds,observable,no,no,,,,,,0,0,1,DB_RARE_SEEDS.MARTS.mart_customer_cohort,,,1,cohort_analysis,churn-risk-distribution,super_admin|agency_admin|tenant_admin|analyst|viewer,Customer Success,,confidential,GDPR|CCPA,"Churn Risk (number) — metric on blended [Customer IQ], lower_is_better.",number,lower_is_better,,,daily,,,,,no,3,,,,active,1,,,,,,
blended.clv,blended,magento,dbt,mart_customer_cohort,magento,high,clv,level,Customer IQ,Customer Success,monthly,dbt,no,rare_seeds,observable,no,no,,,,,/api/v1/cohort-analysis/charts/clv-trend,0,1,0,DB_RARE_SEEDS.MARTS.mart_customer_cohort,,,1,cohort_analysis,clv-trend,super_admin|agency_admin|tenant_admin|analyst|viewer,Customer Success,,confidential,GDPR|CCPA,"Clv (currency) — metric on blended [Customer IQ], higher_is_better.",currency,higher_is_better,,,daily,,,,,yes,1,,,,active,1,,,,,,
blended.clv.avg,blended,magento,dbt,mart_customer_cohort,magento,high,clv,avg,Customer IQ,Customer Success,monthly,dbt,no,rare_seeds,observable,no,yes,outcome,high,,/api/v1/cohort-analysis/metrics/avg-clv,,1,0,0,DB_RARE_SEEDS.MARTS.mart_customer_cohort,,,1,cohort_analysis,avg-clv,super_admin|agency_admin|tenant_admin|analyst|viewer,Customer Success,,confidential,GDPR|CCPA,"Clv (currency) — metric on blended [Customer IQ], higher_is_better.",currency,higher_is_better,,,daily,,,,,yes,1,,,,active,1,,,empty,,,
blended.clv_at_risk,blended,magento,dbt,mart_customer_health,magento,high,clv_at_risk,level,Customer IQ,Customer Success,daily,dbt,no,rare_seeds,observable,no,yes,outcome,high,,/api/v1/churn-analysis/metrics/clv-at-risk,,1,0,0,DB_RARE_SEEDS.MARTS.mart_customer_health,,,1,churn_analysis,clv-at-risk,super_admin|agency_admin|tenant_admin|analyst|viewer,Customer Success,,confidential,GDPR|CCPA,"Clv At Risk (currency) — metric on blended [Customer IQ], lower_is_better.",currency,lower_is_better,,,daily,,,,,no,3,,,,active,1,,,empty,,,
blended.completeness,blended,,heuristic,,,low,completeness,level,Marketing IQ,Marketing,daily,heuristic,no,rare_seeds,observable,no,yes,,low,,,/api/v1/data-quality/charts/completeness,0,1,0,,,,1,data_quality,completeness,super_admin|agency_admin|tenant_admin|analyst|viewer,Marketing,,internal,,"Completeness (number) — metric on blended [Marketing IQ], neutral.",number,neutral,,,daily,,,,,no,3,,,,active,1,,,empty,,,
blended.concerns,blended,,heuristic,,,low,concerns,level,Marketing IQ,Finance / Exec,weekly,heuristic,no,rare_seeds,observable,no,yes,,low,,,/api/v1/weekly-exec/charts/concerns,0,1,0,,,,1,weekly_exec,concerns,super_admin|agency_admin|tenant_admin|analyst|viewer,Finance / Exec,,internal,,"Concerns (number) — metric on blended [Marketing IQ], neutral.",number,neutral,,,weekly,,,,,no,3,,,,active,1,,,empty,,,
blended.conversion.rate,blended,multi,dbt,mart_ceo_daily_pulse,ga4|google_ads|linkedin_ads|meta_ads,high,conversion,rate,Marketing IQ,Finance / Exec,daily,dbt,yes,rare_seeds,observable,yes,yes,outcome,high,,/api/v1/ceo-pulse/metrics/conversion_rate,,2,0,0,DB_RARE_SEEDS.MARTS.mart_ceo_daily_pulse,,,2,ceo_pulse|weekly_exec,conversion_rate,super_admin|agency_admin|tenant_admin|analyst|viewer,Finance / Exec,,internal,,"Conversion (percent) — metric on blended [Marketing IQ], higher_is_better.",percent,higher_is_better,,,daily,,,,,yes,1,,,,active,1,SESSIONS|TOTAL_ORDERS,"CASE WHEN SUM(NVL(SESSIONS, 0)) > 0 THEN SUM(NVL(TOTAL_ORDERS, 0)) * 100.0 / SUM(NVL(SESSIONS, 0)) END",available,2024-04-23,2025-12-31,618
blended.conversion_rates,blended,ga4,dbt,mart_funnel_daily,ga4,high,conversion_rates,level,Marketing IQ,Marketing,daily,dbt,no,rare_seeds,observable,no,yes,outcome,high,,,/api/v1/funnel/charts/stage_conversion_rates,0,1,0,DB_RARE_SEEDS.MARTS.mart_funnel_daily,,,1,funnel,stage_conversion_rates,super_admin|agency_admin|tenant_admin|analyst|viewer,Marketing,,internal,,"Conversion Rates (percent) — metric on blended [Marketing IQ], higher_is_better.",percent,higher_is_better,,,daily,,,,,no,3,,,,active,1,,,empty,,,
blended.conversion_value,blended,multi,dbt,mart_marketing_mix,google_ads|linkedin_ads|meta_ads,high,conversion_value,level,Marketing IQ,Marketing,daily,dbt,yes,rare_seeds,observable,no,yes,outcome,high,,/api/v1/marketing-mix/metrics/conversion_value,,1,0,0,DB_RARE_SEEDS.MARTS.mart_marketing_mix,,,1,marketing_mix,conversion_value,super_admin|agency_admin|tenant_admin|analyst|viewer,Marketing,,internal,,"Conversion Value (currency) — metric on blended [Marketing IQ], higher_is_better.",currency,higher_is_better,,,daily,,,,,no,3,,,,active,1,PLATFORM_CONVERSION_VALUE,"SUM(NVL(PLATFORM_CONVERSION_VALUE, 0))",available,2024-04-23,2025-12-31,618
blended.conversions,blended,multi,dbt,mart_marketing_mix,google_ads|linkedin_ads|meta_ads,high,conversions,level,Marketing IQ,Marketing,daily,dbt,yes,rare_seeds,observable,no,yes,outcome,high,,/api/v1/marketing-mix/metrics/conversions,,1,0,0,DB_RARE_SEEDS.MARTS.mart_marketing_mix,,,1,marketing_mix,conversions,super_admin|agency_admin|tenant_admin|analyst|viewer,Marketing,,internal,,"Conversions (count) — metric on blended [Marketing IQ], higher_is_better.",count,higher_is_better,,,daily,,,,,no,3,,,,active,1,CONVERSIONS,"SUM(NVL(CONVERSIONS, 0))",available,2024-04-23,2025-12-31,618
blended.cpa.avg,blended,multi,dbt,mart_marketing_mix,google_ads|linkedin_ads|meta_ads,high,cpa,avg,Marketing IQ,Marketing,daily,dbt,yes,rare_seeds,observable,no,yes,,low,,/api/v1/marketing-mix/metrics/avg_cpa,,1,0,0,DB_RARE_SEEDS.MARTS.mart_marketing_mix,,,1,marketing_mix,avg_cpa,super_admin|agency_admin|tenant_admin|analyst|viewer,Marketing,,internal,,"Cpa (number) — metric on blended [Marketing IQ], lower_is_better.",number,lower_is_better,,,daily,,,,,no,3,,,,active,1,,,available,2024-04-23,2025-12-31,618
blended.creative_performance,blended,,heuristic,creative_performance,,low,creative_performance,level,Marketing IQ,Marketing,daily,heuristic,no,rare_seeds,observable,no,yes,,low,,,/api/v1/creative-performance/charts/creative_type_performance,0,1,0,DB_RARE_SEEDS.MARTS.creative_performance,,,1,creative_performance,creative_type_performance,super_admin|agency_admin|tenant_admin|analyst|viewer,Marketing,,internal,,"Creative Performance (number) — metric on blended [Marketing IQ], neutral.",number,neutral,,,daily,,,,,no,3,,,,active,1,,,empty,,,
blended.critical_alerts,blended,,heuristic,,,low,critical_alerts,level,Marketing IQ,Marketing,daily,heuristic,no,rare_seeds,observable,no,yes,,low,,,/api/v1/data-quality/charts/critical_alerts,0,1,0,,,,1,data_quality,critical_alerts,super_admin|agency_admin|tenant_admin|analyst|viewer,Marketing,,internal,,"Critical Alerts (number) — metric on blended [Marketing IQ], neutral.",number,neutral,,,daily,,,,,no,3,,,,active,1,,,empty,,,
blended.cta_performance,blended,,heuristic,creative_performance,,low,cta_performance,level,Marketing IQ,Marketing,daily,heuristic,no,rare_seeds,observable,no,yes,,low,,,/api/v1/creative-performance/charts/cta_performance,0,1,0,DB_RARE_SEEDS.MARTS.creative_performance,,,1,creative_performance,cta_performance,super_admin|agency_admin|tenant_admin|analyst|viewer,Marketing,,internal,,"Cta Performance (number) — metric on blended [Marketing IQ], neutral.",number,neutral,,,daily,,,,,no,3,,,,active,1,,,empty,,,
blended.ctr,blended,,heuristic,creative_performance,,low,ctr,level,Marketing IQ,Marketing,daily,heuristic,no,rare_seeds,observable,no,yes,mediator,high,,/api/v1/creative-performance/metrics/blended_ctr,,1,0,0,DB_RARE_SEEDS.MARTS.creative_performance,,,1,creative_performance,blended_ctr,super_admin|agency_admin|tenant_admin|analyst|viewer,Marketing,,internal,,"Ctr (number) — metric on blended [Marketing IQ], neutral.",number,neutral,,,daily,,,,,no,3,,,,active,1,,,empty,,,
blended.current_alerts,blended,,heuristic,,,low,current_alerts,level,Marketing IQ,Marketing,daily,heuristic,no,rare_seeds,observable,no,yes,,low,,,/api/v1/alerts-config/charts/current_alerts,0,1,0,,,,1,alerts_config,current_alerts,super_admin|agency_admin|tenant_admin|analyst|viewer,Marketing,,internal,,"Current Alerts (number) — metric on blended [Marketing IQ], neutral.",number,neutral,,,daily,,,,,no,3,,,,active,1,,,empty,,,
blended.current_performance,blended,,heuristic,,,low,current_performance,level,Marketing IQ,Marketing,daily,heuristic,no,rare_seeds,observable,no,yes,,low,,,/api/v1/alerts-config/charts/current_performance,0,1,0,,,,1,alerts_config,current_performance,super_admin|agency_admin|tenant_admin|analyst|viewer,Marketing,,internal,,"Current Performance (number) — metric on blended [Marketing IQ], neutral.",number,neutral,,,daily,,,,,no,3,,,,active,1,,,empty,,,
blended.customer_acquisition,blended,multi,dbt,mart_ceo_daily_pulse,ga4|google_ads|linkedin_ads|meta_ads,high,customer_acquisition,level,Marketing IQ,Finance / Exec,daily,dbt,no,rare_seeds,observable,no,yes,outcome,high,,,/api/v1/quarterly-review/charts/customer_acquisition,0,1,0,DB_RARE_SEEDS.MARTS.mart_ceo_daily_pulse,,,1,quarterly_review,customer_acquisition,super_admin|agency_admin|tenant_admin|analyst|viewer,Finance / Exec,,confidential,GDPR|CCPA,"Customer Acquisition (number) — metric on blended [Marketing IQ], neutral.",number,neutral,,,quarterly,,,,,no,3,,,,active,1,,,empty,,,
blended.daily_trend,blended,ga4,dbt,mart_funnel_daily,ga4,high,daily_trend,level,Marketing IQ,Marketing,daily,dbt,no,rare_seeds,observable,no,yes,,low,,,/api/v1/funnel/charts/daily_trend,0,1,0,DB_RARE_SEEDS.MARTS.mart_funnel_daily,,,1,funnel,daily_trend,super_admin|agency_admin|tenant_admin|analyst|viewer,Marketing,,internal,,"Daily Trend (number) — metric on blended [Marketing IQ], neutral.",number,neutral,,,daily,,,,,no,3,,,,active,1,,,available,2024-04-23,2025-12-31,618
blended.date_coverage,blended,,heuristic,,,low,date_coverage,level,Marketing IQ,Marketing,daily,heuristic,no,rare_seeds,observable,no,yes,,low,,,/api/v1/data-quality/charts/date_coverage,0,1,0,,,,1,data_quality,date_coverage,super_admin|agency_admin|tenant_admin|analyst|viewer,Marketing,,internal,,"Date Coverage (number) — metric on blended [Marketing IQ], neutral.",number,neutral,,,daily,,,,,no,3,,,,active,1,,,empty,,,
blended.details,blended,magento,dbt,mart_customer_cohort,magento,high,details,level,Customer IQ,Customer Success,monthly,dbt,no,rare_seeds,observable,no,no,,,,,/api/v1/cohort-analysis/charts/cohort-details,0,1,0,DB_RARE_SEEDS.MARTS.mart_customer_cohort,,,1,cohort_analysis,cohort-details,super_admin|agency_admin|tenant_admin|analyst|viewer,Customer Success,,internal,,"Details (number) — metric on blended [Customer IQ], neutral.",number,neutral,,,daily,,,,,no,3,,,,active,1,,,,,,
blended.device,blended,ga4,dbt,mart_funnel_daily,ga4,high,device,level,Marketing IQ,Marketing,daily,dbt,no,rare_seeds,observable,no,yes,,low,,,/api/v1/funnel/charts/device_funnel,0,1,0,DB_RARE_SEEDS.MARTS.mart_funnel_daily,,,1,funnel,device_funnel,super_admin|agency_admin|tenant_admin|analyst|viewer,Marketing,,internal,,"Device (number) — metric on blended [Marketing IQ], neutral.",number,neutral,,,daily,,,,,no,3,,,,active,1,,,empty,,,
blended.direct_blackhole,blended,multi,dbt,mart_attribution_daily,ga4|google_ads|meta_ads,high,direct_blackhole,level,Marketing IQ,Marketing,daily,dbt,no,rare_seeds,observable,no,yes,,low,,,/api/v1/attribution/charts/direct_blackhole,0,1,0,DB_RARE_SEEDS.MARTS.mart_attribution_daily,,,1,attribution,direct_blackhole,super_admin|agency_admin|tenant_admin|analyst|viewer,Marketing,,internal,,"Direct Blackhole (number) — metric on blended [Marketing IQ], neutral.",number,neutral,,,daily,,,,,no,3,,,,active,1,,,empty,,,
